Feature_Identifier,Importance_Weight
monthly_income,10.949612386444516
nfhi_11_yes,7.777991222277901
accessto_13k_1month_yes,5.5432583147847145
nfhi_13_yes,5.292472008313483
nfhi_12_yes,4.244438381608838
Age_18-25,4.198465406986966
marital_status_single/never married,4.125329910105209
prodsum1,3.3224447533632353
not_difficult_yes,2.8855463509116075
Savings_formal_usage,2.784367479194565
experienced_shock_yes,2.7328774919410623
"education_level_""none """,2.576705378795967
household_size,2.4004996499130677
barriers_bank_eligibility,2.2185015898029645
county_kisumu,1.8876615706414444
county_mandera,1.5529413518254598
county_west pokot,1.5493329026403653
Savings_informal_usage,1.4108531365438788
county_kitui,1.2672386435790333
barriers_bank_affordability,1.2569666584723684
Age_above 55,1.156879479756114
fl_score_none correct,1.1529974132622673
fl_score_one correct,1.0916013716561352
county_wajir,0.9992776890266905
Age_46-55,0.9972802288605365
defaulted_yes,0.9946003885090938
county_bungoma,0.9727497329406518
county_elgeyo-marakwet,0.9684384507534736
county_bomet,0.9265667006712397
Age_36-45,0.8967396655185728
location_type_urban,0.8222010849048038
county_nandi,0.8158022729473369
mobile_money_access_yes,0.7421710971744411
mobile_ownership_1_yes,0.7244875092853681
county_marsabit,0.6935841127875267
county_homabay,0.675399912655392
Loan_formal_usage,0.6614073471514196
barriers_bank_no barrier,0.6523938280915179
county_garissa,0.6157969070652425
county_embu,0.6097711505525167
marital_status_married/living with partner,0.5690119070707231
county_kajiado,0.5596905956741304
"education_level_""secondary completed """,0.552056877767758
county_nakuru,0.5132627806959835
Loan_informal_usage,0.45714664671737654
county_tana river,0.44731387999804345
fl_score_two correct,0.445414145988112
"education_level_""some secondary""",0.42858016777052965
Age_26-35,0.42383205696020504
county_kisii,0.42240009373868825
marital_status_widowed,0.4194896431236895
barriers_mobile_money_eligibility,0.4191174123426857
barriers_mobile_money_phone ownership,0.39279608874306
county_meru,0.38880357245134606
county_makueni,0.3377565870307079
county_migori,0.33510321327468967
county_machakos,0.30504343082083096
"education_level_""university completed """,0.2930690052194668
county_mombasa,0.29268426821066185
"education_level_""primary completed""",0.2813122398635812
formal_service_use_usage,0.26328980506424315
has_disability_without disability,0.26304488822221866
barriers_mobile_money_affordability,0.26204898520263126
barriers_bank_relevance/suitability,0.2540391990233643
county_turkana,0.2506624833110372
county_narok,0.24637289519548664
Sex_male,0.23877060559570562
county_kakamega,0.22465971892072142
county_nyeri,0.21845688320519552
county_samburu,0.19792117590054237
county_kwale,0.178930981342911
county_kiambu,0.1788036119870815
county_nyamira,0.17441324260429183
education_level_completed technical training after secondary school,0.16816941638162286
"education_level_""some primary """,0.161996509247435
barriers_bank_awareness,0.14788444330423767
county_busia,0.13985630010616917
county_uasin gishu,0.12564993852462628
county_nyandarua,0.11807190645853488
education_level_some technical training after secondary school,0.10474397955998523
county_kirinyaga,0.09835531816163537
county_lamu,0.08640923705516815
county_nairobi city,0.07294509568664843
county_tharaka-nithi,0.0686449491786181
county_siaya,0.05341084514203194
barriers_bank_trust,0.04296216027027023
county_murang'a,0.041444893260892436
county_taita-taveta,0.035305997337363164
county_kilifi,0.034083282407785326
barriers_mobile_money_relevance/suitability,0.03261657710334087
education_level_some university,0.02828726313415477
barriers_mobile_money_awareness,0.02386062139273369
barriers_mobile_money_line blocked,0.012458020690107045
barriers_bank_other,0.009831199456090733
barriers_mobile_money_other,0.00871892434613352
barriers_mobile_money_service quality,0.0013431010397390282
county_isiolo,0.0
county_trans nzoia,0.0
county_laikipia,0.0
county_kericho,0.0
county_vihiga,0.0
marital_status_refused to answer(do not read out),0.0
marital_status_don't know   (do not read out),0.0
education_level_95,0.0
"education_level_""refused to answer (do not read out)""",0.0
"education_level_""other (specify) """,0.0
barriers_mobile_money_trust,0.0
barriers_bank_charges/product pricing,0.0
barriers_bank_service quality,0.0
